id,label
0,0
1,0
2,0
3,4
4,3
5,3
6,2
7,4
8,3
9,2
10,3
11,0
12,0
13,2
14,6
15,2
16,5
17,5
18,5
19,3
20,2
21,5
22,6
23,4
24,0
25,6
26,4
27,4
28,0
29,5
30,3
31,6
32,3
33,6
34,0
35,2
36,6
37,2
38,4
39,3
40,0
41,4
42,0
43,3
44,6
45,3
46,5
47,3
48,5
49,6
50,6
51,3
52,5
53,4
54,4
55,3
56,2
57,4
58,5
59,3
60,6
61,3
62,4
63,5
64,5
65,3
66,2
67,6
68,6
69,6
70,0
71,5
72,6
73,3
74,2
75,6
76,5
77,6
78,4
79,4
80,4
81,0
82,0
83,3
84,5
85,4
86,3
87,3
88,5
89,3
90,6
91,0
92,3
93,6
94,0
95,0
96,5
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,3
106,6
107,6
108,2
109,3
110,3
111,0
112,0
113,4
114,3
115,2
116,5
117,6
118,2
119,6
120,5
121,0
122,6
123,2
124,4
125,6
126,3
127,0
128,5
129,5
130,2
131,6
132,2
133,6
134,5
135,5
136,5
137,3
138,6
139,6
140,0
141,3
142,0
143,6
144,2
145,4
146,3
147,3
148,3
149,2
150,6
151,0
152,5
153,3
154,5
155,5
156,2
157,5
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,6
167,0
168,5
169,6
170,6
171,4
172,5
173,6
174,0
175,4
176,4
177,0
178,4
179,5
180,6
181,3
182,2
183,3
184,3
185,4
186,4
187,3
188,3
189,3
190,4
191,0
192,5
193,5
194,3
195,6
196,5
197,6
198,0
199,0
200,3
201,3
202,5
203,3
204,3
205,5
206,4
207,4
208,6
209,2
210,6
211,4
212,0
213,4
214,6
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,4
224,0
225,3
226,5
227,0
228,0
229,3
230,3
231,6
232,5
233,6
234,3
235,3
236,3
237,4
238,0
239,6
240,3
241,6
242,6
243,0
244,0
245,3
246,3
247,3
248,0
249,0
250,6
251,2
252,6
253,2
254,2
255,6
256,6
257,3
258,6
259,6
260,0
261,0
262,0
263,6
264,2
265,0
266,2
267,3
268,3
269,4
270,6
271,4
272,5
273,3
274,5
275,3
276,4
277,5
278,0
279,2
280,3
281,5
282,6
283,2
284,0
285,6
286,0
287,6
288,4
289,6
290,2
291,3
292,6
293,4
294,3
295,4
296,2
297,6
298,6
299,3
300,4
301,0
302,3
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,4
313,3
314,0
315,4
316,4
317,2
318,2
319,3
320,4
321,2
322,3
323,6
324,4
325,4
326,2
327,3
328,3
329,5
330,3
331,3
332,0
333,3
334,5
335,3
336,2
337,6
338,2
339,3
340,0
341,5
342,6
343,6
344,4
345,4
346,6
347,5
348,4
349,0
350,3
351,0
352,6
353,3
354,3
355,6
356,3
357,4
358,3
359,2
360,4
361,6
362,3
363,4
364,5
365,3
366,3
367,3
368,2
369,2
370,3
371,6
372,4
373,0
374,4
375,2
376,0
377,5
378,3
379,4
380,0
381,5
382,3
383,4
384,3
385,6
386,3
387,5
388,6
389,2
390,4
391,6
392,3
393,5
394,0
395,5
396,2
397,5
398,4
399,0
400,0
401,5
402,3
403,6
404,2
405,4
406,5
407,5
408,5
409,5
410,0
411,5
412,6
413,3
414,3
415,6
416,0
417,2
418,5
419,4
420,6
421,3
422,3
423,4
424,5
425,0
426,3
427,3
428,3
429,4
430,2
431,4
432,2
433,6
434,6
435,0
436,3
437,2
438,6
439,0
440,4
441,0
442,6
443,4
444,2
445,3
446,0
447,3
448,2
449,0
450,0
451,3
452,0
453,4
454,4
455,5
456,6
457,4
458,0
459,6
460,5
461,5
462,3
463,3
464,6
465,6
466,2
467,0
468,3
469,4
470,3
471,5
472,2
473,4
474,6
475,3
476,3
477,6
478,2
479,4
480,6
481,6
482,6
483,0
484,4
485,2
486,6
487,5
488,3
489,6
490,3
491,6
492,3
493,0
494,0
495,4
496,5
497,2
498,0
499,2
500,4
501,2
502,3
503,5
504,0
505,6
506,6
507,6
508,5
509,6
510,3
511,3
512,0
513,5
514,6
515,3
516,5
517,4
518,0
519,4
520,3
521,6
522,0
523,6
524,3
525,3
526,3
527,3
528,0
529,2
530,0
531,3
532,5
