TestDataID,Rating
1,4.244277
2,4.307002
3,4.333161
4,3.330235
5,3.346429
6,3.751877
7,4.338581
8,3.720099
9,3.592170
10,3.227388
11,4.180705
12,3.622464
13,3.429648
14,3.547546
15,3.544613
16,3.614784
17,3.998045
18,3.769921
19,4.127998
20,4.118008
21,3.665011
22,4.011745
23,3.892174
24,3.014700
25,3.846903
26,2.818568
27,3.750857
28,3.459000
29,2.475517
30,3.211494
31,2.907729
32,3.472192
33,3.301110
34,2.842641
35,4.391342
36,4.157779
37,4.062792
38,3.006647
39,3.264977
40,2.673498
41,3.944343
42,4.155688
43,2.880361
44,4.134498
45,3.699736
46,3.245322
47,3.597738
48,4.141063
49,3.794904
50,3.778965
51,3.916942
52,3.546675
53,4.290585
54,4.255153
55,4.168116
56,3.665047
57,3.827591
58,3.352780
59,3.871183
60,3.691176
61,3.156677
62,4.215108
63,4.105802
64,4.134429
65,4.285681
66,4.030268
67,3.863996
68,4.113683
69,3.450595
70,4.345648
71,3.677465
72,4.299857
73,3.515501
74,4.114486
75,3.512633
76,3.346352
77,4.010068
78,4.262216
79,3.902574
80,4.369303
81,4.219149
82,3.734472
83,4.463150
84,4.029389
85,4.397274
86,3.737991
87,4.182293
88,4.110578
89,4.047244
90,4.348718
91,4.014102
92,4.044333
93,3.983099
94,4.371681
95,3.896209
96,4.159374
97,4.116465
98,3.903764
99,4.293155
100,4.408533
101,3.884684
102,4.416535
103,3.949331
104,4.063415
105,3.865513
106,3.963630
107,3.952901
108,4.222184
109,3.825036
110,4.054257
111,4.895802
112,4.464992
113,4.655018
114,3.870180
115,4.144348
116,2.859089
117,4.566133
118,3.148687
119,3.690058
120,2.840533
121,2.308023
122,3.221621
123,3.873676
124,3.008481
125,3.517478
126,4.500352
127,3.965369
128,4.247756
129,3.687466
130,3.493781
131,3.561615
132,3.784453
133,4.274693
134,3.896158
135,2.937436
136,4.327120
137,4.202168
138,3.906300
139,4.276755
140,3.175356
141,3.296943
142,3.696172
143,3.745399
144,3.256863
145,3.304674
146,3.425180
147,3.888212
148,3.992871
149,3.325081
150,3.081512
151,3.593211
152,3.642483
153,3.167544
154,2.768821
155,3.306988
156,3.096940
157,3.980416
158,4.039997
159,2.701147
160,3.847067
161,3.546653
162,3.347198
163,3.012795
164,3.166857
165,2.670141
166,3.296216
167,3.748238
168,3.809997
169,2.899108
170,4.636916
171,3.520936
172,3.695547
173,3.435966
174,4.265772
175,4.329943
176,4.318601
177,4.265831
178,4.802028
179,4.938080
180,3.055126
181,4.380106
182,4.576281
183,4.269866
184,3.511445
185,4.288315
186,4.102662
187,4.169668
188,3.630303
189,4.321604
190,4.578436
191,3.398952
192,3.883729
193,2.456677
194,4.297388
195,4.191260
196,2.689349
197,4.517912
198,4.707494
199,2.914465
200,4.050252
201,4.771741
202,4.371407
203,1.655605
204,4.173472
205,1.778052
206,3.131169
207,3.458120
208,4.262947
209,2.610013
210,4.544217
211,3.379387
212,3.859734
213,4.388787
214,2.386025
215,4.480252
216,2.100165
217,5.212847
218,3.671998
219,4.613802
220,2.365364
221,4.583333
222,4.200129
223,4.905151
224,4.065262
225,3.434391
226,4.110683
227,2.136009
228,2.740195
229,2.249486
230,4.906899
231,3.967835
232,3.530073
233,4.161698
234,4.324478
235,3.398517
236,4.484666
237,3.971161
238,3.765106
239,3.275759
240,4.182584
241,3.606851
242,3.322341
243,3.441771
244,4.380249
245,4.011929
246,4.396060
247,3.506455
248,3.092187
249,3.644908
250,3.681894
251,3.642328
252,4.562068
253,3.628780
254,3.731009
255,3.182013
256,3.335464
257,3.422027
258,3.182650
259,3.024344
260,3.061071
261,3.334054
262,3.223407
263,3.219538
264,3.612613
265,2.247684
266,3.250611
267,3.743358
268,3.567394
269,3.971025
270,4.613908
271,2.582631
272,3.544237
273,2.940578
274,2.657108
275,4.079848
276,2.543377
277,2.665428
278,3.667564
279,3.246988
280,3.417250
281,3.388671
282,4.281735
283,3.877623
284,3.246256
285,3.471147
286,2.998787
287,3.540394
288,3.259098
289,3.028538
290,3.370683
291,2.860053
292,3.548112
293,3.188461
294,3.514284
295,2.964067
296,3.421281
297,3.235900
298,3.347957
299,3.481754
300,3.107373
301,3.707043
302,3.781900
303,3.432785
304,3.226112
305,3.284573
306,3.767090
307,3.553776
308,3.387324
309,3.673399
310,3.745780
311,3.997804
312,3.505789
313,3.409353
314,3.317455
315,3.032258
316,4.442480
317,2.799165
318,4.360798
319,2.958595
320,4.533247
321,3.701999
322,3.973429
323,3.485046
324,3.551114
325,4.646107
326,3.928831
327,3.327401
328,3.563540
329,2.810562
330,3.645730
331,3.174755
332,3.644961
333,3.614578
334,3.892640
335,3.748627
336,3.042656
337,3.277994
338,2.810626
339,3.309599
340,3.251091
341,3.079161
342,2.571019
343,3.053884
344,3.291676
345,2.908548
346,3.188570
347,2.793711
348,3.153205
349,2.969074
350,3.065259
351,3.412736
352,3.326458
353,2.677914
354,3.288330
355,2.893947
356,3.294983
357,3.080407
358,2.724699
359,3.335790
360,3.117935
361,2.813137
362,3.137846
363,2.580325
364,2.914573
365,3.477040
366,3.232058
367,2.606011
368,2.828533
369,4.493072
370,4.496578
371,3.966076
372,4.454629
373,3.832508
374,3.749280
375,4.049165
376,3.876977
377,4.080110
378,4.257433
379,4.094656
380,3.601635
381,4.110844
382,3.481156
383,4.205190
384,3.328991
385,3.979066
386,3.755436
387,4.335970
388,3.399128
389,4.074876
390,3.863082
391,3.632304
392,3.229051
393,3.906790
394,4.078011
395,3.396218
396,3.062134
397,3.532747
398,3.502972
399,4.276541
400,3.840659
401,3.475321
402,3.293576
403,3.293253
404,3.611871
405,3.780004
406,3.722633
407,3.904696
408,3.940141
409,3.836943
410,4.235472
411,3.852719
412,4.089443
413,4.039525
414,3.796510
415,3.702640
416,3.722948
417,3.783947
418,3.779919
419,3.953126
420,2.459363
421,3.463456
422,3.789561
423,4.217890
424,3.864386
425,4.154770
426,3.668305
427,3.992782
428,3.912265
429,4.222939
430,3.884807
431,3.703428
432,3.328773
433,3.368052
434,3.406881
435,3.220883
436,3.867251
437,3.374836
438,3.516196
439,3.377904
440,3.403956
441,3.307619
442,3.506050
443,3.698753
444,3.170542
445,3.658175
446,3.404295
447,3.978212
448,3.789894
449,3.729541
450,3.530380
451,3.526707
452,3.262600
453,3.706664
454,3.674176
455,3.131256
456,3.396220
457,3.560805
458,3.317947
459,3.882606
460,3.691493
461,3.444615
462,3.966061
463,3.889289
464,3.444722
465,3.421028
466,3.823558
467,3.065155
468,3.388309
469,3.359739
470,3.799200
471,3.554502
472,3.779647
473,3.614563
474,3.529852
475,3.596001
476,3.497659
477,3.386681
478,3.458969
479,3.739236
480,3.163748
481,3.731214
482,3.330493
483,4.034700
484,4.327258
485,4.956314
486,3.339869
487,4.214048
488,4.341041
489,4.114809
490,3.108750
491,4.256899
492,3.534233
493,3.848607
494,3.736234
495,3.120489
496,3.373024
497,4.065748
498,2.441266
499,3.318529
500,4.002039
501,4.332844
502,4.304968
503,3.731677
504,4.256161
505,3.586918
506,3.999572
507,4.295590
508,4.317964
509,4.000068
510,3.837586
511,4.395566
512,4.115438
513,4.154260
514,4.351528
515,3.998760
516,3.385258
517,4.352950
518,3.797804
519,4.601059
520,3.890251
521,3.854968
522,4.450058
523,4.258294
524,3.464065
525,3.576047
526,4.039979
527,4.199341
528,4.308029
529,4.254758
530,3.125526
531,3.941618
532,4.566772
533,3.365954
534,4.330607
535,3.967937
536,3.897355
537,3.177441
538,3.466522
539,3.941033
540,3.691022
541,4.174556
542,4.168349
543,3.360077
544,2.741981
545,1.754527
546,2.955791
547,3.459465
548,3.758351
549,3.064365
550,2.766180
551,3.528202
552,2.538468
553,3.393511
554,1.845743
555,4.646148
556,3.352906
557,3.731003
558,3.593991
559,3.586348
560,3.908589
561,4.198892
562,2.814195
563,3.194668
564,3.178855
565,3.835922
566,3.663973
567,4.529207
568,4.104668
569,3.416039
570,3.572000
571,4.031756
572,3.634939
573,4.035342
574,3.224881
575,3.815679
576,4.148466
577,3.875949
578,3.895225
579,3.772989
580,3.294408
581,4.236224
582,3.624954
583,4.009786
584,3.495093
585,4.144917
586,3.879065
587,3.842023
588,3.349891
589,3.794951
590,3.763705
591,4.279515
592,4.404438
593,3.820689
594,3.252013
595,3.317092
596,5.151264
597,4.654001
598,3.589976
599,3.483291
600,3.308711
601,4.633316
602,3.798532
603,3.641366
604,3.518848
605,2.986927
606,3.769832
607,3.847772
608,3.776671
609,3.409728
610,3.805522
611,4.655585
612,3.424593
613,3.796630
614,2.889665
615,2.385250
616,3.454432
617,2.776115
618,2.900350
619,3.408669
620,3.783474
621,3.341567
622,3.232140
623,2.565767
624,2.927035
625,3.047045
626,3.205483
627,3.322477
628,2.641965
629,3.820895
630,3.069783
631,2.891102
632,3.567041
633,3.230371
634,3.361390
635,3.363690
636,3.242434
637,3.132671
638,3.078589
639,3.195171
640,3.118529
641,2.786810
642,4.004972
643,3.771254
644,5.100814
645,4.775739
646,3.804324
647,3.749353
648,3.852947
649,2.840116
650,3.582458
651,3.228749
652,2.911618
653,3.258611
654,3.524202
655,3.411087
656,3.301385
657,3.883254
658,2.790846
659,2.420691
660,3.312746
661,4.009069
662,3.624689
663,3.851621
664,2.482042
665,3.845331
666,2.684808
667,3.282981
668,2.999182
669,3.294791
670,3.214521
671,3.848592
672,3.355315
673,3.151610
674,2.774082
675,2.106334
676,2.729167
677,2.748828
678,2.874610
679,3.230559
680,2.575186
681,2.028614
682,2.773465
683,2.988176
684,3.810192
685,3.132411
686,3.030904
687,2.159044
688,2.396901
689,2.552793
690,2.256134
691,3.546119
692,3.860172
693,3.425219
694,3.884805
695,2.946349
696,3.192546
697,3.304407
698,3.063226
699,3.867706
700,3.954497
701,2.189336
702,2.798137
703,3.970412
704,3.521339
705,3.633493
706,3.302364
